Disk Folder Name,Disk Relative Path,Size (MB),Reconciliation Status,Match Tier,Canonical Title,Canonical Author,Canonical ASIN,Canonical Series
12 The Spine Of The World_3,_Uncataloged\12 The Spine Of The World_3,259.51,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,"The Spine of the World: Legend of Drizzt: Paths of Darkness, Book 2",R. A. Salvatore,B00HFW9SUE,Legend of Drizzt #12
13 Sea Of Swords_3,_Uncataloged\13 Sea Of Swords_3,250.23,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,"Sea of Swords: Legend of Drizzt: Paths of Darkness, Book 3",R. A. Salvatore,B00HNF85YI,Legend of Drizzt #13
28 Night Of The Hunter_3,_Uncataloged\28 Night Of The Hunter_3,322.31,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Soul Hunter,Aaron Dembski-Bowden,1789994241,Night Lords #1
Book 1 - Eye of the World,_Uncataloged\Book 1 - Eye of the World,660.57,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Eye of the World,Robert Jordan,B0036NHZ10,The Wheel of Time #1
The Twilight Saga I_  Twilight,_Uncataloged\The Twilight Saga I_  Twilight,333.05,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Twilight Saga I:  Twilight,Stephenie Meyer,,Stephenie.Meyers.Twilight.Saga.(Books.1-4).[Audiobooks.4.iPod].VoV
5 [Book Five]  Soul of the Fire,_Uncataloged\5 [Book Five]  Soul of the Fire,669.73,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Terry Goodkind - Soul of the,01,,Terry Goodkind - The Sword of Truth
6 [Book Six] Faith of the Fallen,_Uncataloged\6 [Book Six] Faith of the Fallen,841.86,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Terry Goodkind - SoT6 - Faith,Fantasy,,Terry Goodkind - The Sword of Truth
7 [Book Seven] The Pillars of Creation,_Uncataloged\7 [Book Seven] The Pillars of Creation,619.47,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Terry Goodkind - The Pillars,Fantasy,,Terry Goodkind - The Sword of Truth
12.5 James Penney’s New Identity - Guy Walks into a Bar_1,_Uncataloged\12.5 James Penney’s New Identity - Guy Walks into a Bar_1,39.12,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,12.5 James Penney’s New Identity - Guy Walks into a Bar,Lee Child,,Jack Reacher
4 The Visitor,_Uncataloged\4 The Visitor,390.32,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Running Blind,Lee Child,B009WRO5LW,Jack Reacher #4
