TargetFolder,Reason
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Drew Hayes\Super Powereds - Not Dramatized\[03] Super Powereds,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Jaime Castle; Andy Peloquin\Dragonblood Assassin\[04] Golden Flames,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[09] Four Beheadings and a Funeral,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel, Alex Irvine - Astonishing X-Men - Days of Future Past [GraphicAudio 256],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Neil Degrasse Tyson\Neil deGrasse Tyson - Space Chronicles Facing the Ultimate Frontier (Unabridged),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Torsten Weitze; Tim Casey - translator\The 13th Paladin\[09] The Forest of Ire,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Torsten Weitze; Tim Casey - translator\The 13th Paladin\[08] Father of the Mountain,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Shirtaloon; Travis Deverell\He Who Fights with Monsters\[01] He Who Fights with Monsters,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Alexey Osadchuk; Andrew Douglas Schmitt - Translated by\Underdog Series\[07] Arbiter,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Alexey Osadchuk; Andrew Douglas Schmitt - Translated by\Underdog Series\[06] Showdown,Reason: Empty Shell
